"","MES","COMUNA","A—O_2017_PRED","A—O_2018_PRED"
"1",NA,"Aranjuez",2.33628318584071,2.21100917431193
"2",NA,"Bel√©n",2.06569343065693,2.16666666666667
"3",NA,"Buenos Aires",2.33628318584071,2.21100917431193
"4",NA,"Castilla",7.7,7.1010101010101
"5",NA,"Corregimiento de Altavista",0.570135746606335,0.497737556561086
"6",NA,"Doce de Octubre",0.570135746606335,0.497737556561086
"7",NA,"El Poblado",4.03921568627451,3.76
"8",NA,"Guayabal",6.21782178217822,5.70707070707071
"9",NA,"In",0.570135746606335,0.497737556561086
"10",NA,"La Am√©rica",4.77884615384615,4.03030303030303
"11",NA,"La Candelaria",10.65,10.2020202020202
"12",NA,"Laureles Estadio",9.28282828282828,8.94949494949495
"13",NA,"Manrique",1.95901639344262,1.93162393162393
"14",NA,"Popular",0.800554016620499,0.575187969924812
"15",NA,"Robledo",4.03921568627451,3.76
"16",NA,"San Javier",0.800554016620499,0.575187969924812
"17",NA,"Villa Hermosa",0.570135746606335,0.497737556561086
"18","01","",15.6771498387432,14.3407208414264
"19","01","Aranjuez",194.866069204829,185.958198843725
"20","01","AU",0.5,0.584745762711864
"21","01","Bel√©n",208.397750921196,202.505934652289
"22","01","Buenos Aires",116.311049300114,111.252599136184
"23","01","Castilla",294.990943571738,265.802807901295
"24","01","Corregimiento de Altavista",16.2195625660567,14.726347216338
"25","01","Corregimiento de San Antonio de Prado",28.0139161091735,26.1430982654395
"26","01","Corregimiento de San Crist√≥bal",35.6313853159726,35.3555320929938
"27","01","Corregimiento de Santa Elena",26.4405733918654,25.9949007787851
"28","01","Doce de Octubre",85.6449678442309,80.9252533239041
"29","01","El Poblado",244.456558942283,232.553726365362
"30","01","Guayabal",214.265157001596,201.321269346735
"31","01","In",5.38247587728183,4.6269919550016
"32","01","La Am√©rica",104.92856228914,103.36425727168
"33","01","La Candelaria",547.781204856964,539.55203920392
"34","01","Laureles Estadio",296.228342084145,275.059830197754
"35","01","Manrique",88.5376660680968,86.4107550163403
"36","01","Popular",46.9379952942483,46.4262616802441
"37","01","Robledo",206.168225128823,198.939402743628
"38","01","San Javier",59.7730304035075,60.1849137047212
"39","01","Santa Cruz",48.5966355076111,47.2463312758114
"40","01","Villa Hermosa",80.1823612252789,76.4745710606055
"41","01","Corregimiento de San Sebasti√°n de Palmitas",0.5,0.584745762711864
"42","02","",13.6641737353251,12.3367236545838
"43","02","Aranjuez",212.15346910434,202.417557117056
"44","02","AU",1.62110219203458,1.23101265822785
"45","02","Bel√©n",226.473816548132,215.890640235288
"46","02","Buenos Aires",123.538953772819,119.497163517185
"47","02","Castilla",300.045552389026,274.878731873187
"48","02","Corregimiento de Altavista",16.1579703314212,13.3845278090404
"49","02","Corregimiento de San Antonio de Prado",23.7971210213127,21.7500091482739
"50","02","Corregimiento de San Crist√≥bal",30.1921988841558,29.8033159744834
"51","02","Corregimiento de Santa Elena",26.1221677248336,24.9354926298304
"52","02","Doce de Octubre",88.8545991349358,84.4987575486647
"53","02","El Poblado",266.435012825551,247.750848496614
"54","02","Guayabal",249.778380397326,230.721967668497
"55","02","In",6.07577886388175,5.36372023170993
"56","02","La Am√©rica",114.273220449767,112.369407635871
"57","02","La Candelaria",570.485880695437,556.074646464646
"58","02","Laureles Estadio",345.199432828254,310.841313131313
"59","02","Manrique",104.238570190296,100.759163558149
"60","02","Popular",49.7924482116668,48.8315070268423
"61","02","Robledo",222.171673221574,210.435287230586
"62","02","San Javier",71.2381196162495,68.1966815624831
"63","02","Santa Cruz",48.6803932100109,47.7889948563404
"64","02","Villa Hermosa",93.1895792183265,90.5210790834821
"65","03","",18.5481621248294,17.9114789943586
"66","03","Aranjuez",231.489780100785,224.869609885186
"67","03","AU",1.62110219203458,1.23101265822785
"68","03","Bel√©n",254.686476146671,237.024312910446
"69","03","Buenos Aires",140.192040071993,136.981199386203
"70","03","Castilla",349.978540653866,314.464123412341
"71","03","Corregimiento de Altavista",16.594198339184,14.696630594453
"72","03","Corregimiento de San Antonio de Prado",27.9351363352392,27.2490000554754
"73","03","Corregimiento de San Crist√≥bal",49.120373073974,47.7416842258191
"74","03","Corregimiento de Santa Elena",20.6510073057918,19.4871135746522
"75","03","Doce de Octubre",106.400379621767,103.196347463193
"76","03","El Poblado",284.886212948211,266.487215919193
"77","03","Guayabal",262.497033941399,244.174252278169
"78","03","In",4.50180111958927,4.40964613389444
"79","03","La Am√©rica",125.825539897083,123.36759314181
"80","03","La Candelaria",632.178095238095,622.820303030303
"81","03","Laureles Estadio",389.563833304099,356.794892489249
"82","03","Manrique",119.812719656046,113.50868837342
"83","03","Popular",67.9482839142638,64.7239095660434
"84","03","Robledo",240.125587463339,228.99104210421
"85","03","San Javier",67.9849490941102,66.287028300185
"86","03","Santa Cruz",52.9264044104753,53.3070328530568
"87","03","Villa Hermosa",105.749906252976,101.182340651314
"88","03","0",0.570135746606335,0.497737556561086
"89","03","Corregimiento de San Sebasti√°n de Palmitas",1.07013574660633,1.08248331927295
"90","04","",21.1951830475111,18.2689112291259
"91","04","Aranjuez",210.380298495417,203.33450532178
"92","04","AU",0.570135746606335,0.497737556561086
"93","04","Bel√©n",234.326173118921,222.446313370867
"94","04","Buenos Aires",118.394822485034,116.068529708024
"95","04","Castilla",319.311736004072,287.421074107411
"96","04","Corregimiento de Altavista",13.7458043832524,12.5935138056705
"97","04","Corregimiento de San Antonio de Prado",26.7168153296788,24.7475041588581
"98","04","Corregimiento de San Crist√≥bal",40.0889889411785,38.3823489640486
"99","04","Corregimiento de Santa Elena",20.8568349649815,18.9769364531399
"100","04","Doce de Octubre",101.431253439896,97.8014895754972
"101","04","El Poblado",276.370784073016,258.067878787879
"102","04","Guayabal",252.366083677576,235.59760662226
"103","04","In",8.63299137072361,6.73302172353436
"104","04","La Am√©rica",125.659019005038,121.926615040712
"105","04","La Candelaria",615.140796156539,596.855353535354
"106","04","Laureles Estadio",372.17755048833,339.153884388439
"107","04","Manrique",113.321019913084,107.497515663374
"108","04","Popular",60.8276323135346,58.340900094178
"109","04","Robledo",242.245007514451,228.753217596269
"110","04","San Javier",72.1563392070974,68.5918343682071
"111","04","Santa Cruz",51.6295996867871,48.5009470628536
"112","04","SN",0.560975609756098,0.5
"113","04","Villa Hermosa",98.2471175489292,94.4332191332939
"114","05","",17.2902061691418,14.4715017187073
"115","05","Aranjuez",231.542429336722,223.138860062885
"116","05","AU",1.1219512195122,1
"117","05","Bel√©n",233.189279826329,220.822744308044
"118","05","Buenos Aires",127.991582653543,124.089459809102
"119","05","Castilla",330.206752157278,297.607701887836
"120","05","Corregimiento de Altavista",17.1500556480468,14.4700523561004
"121","05","Corregimiento de San Antonio de Prado",30.6428088915132,29.5764773091361
"122","05","Corregimiento de San Crist√≥bal",42.6417475275279,42.8812576654985
"123","05","Corregimiento de Santa Elena",20.8239593501271,18.6394459389446
"124","05","Doce de Octubre",101.421304647065,97.4127540283345
"125","05","El Poblado",276.859319523716,255.384542867062
"126","05","Guayabal",259.089877090654,240.678217044833
"127","05","In",10.5321946218757,8.82735940318178
"128","05","La Am√©rica",121.981149931415,118.405978214511
"129","05","La Candelaria",640.664076054664,631.090909090909
"130","05","Laureles Estadio",383.857469922751,348.319393939394
"131","05","Manrique",126.925387452383,122.978552554364
"132","05","Popular",55.5166943701734,56.5304223697037
"133","05","Robledo",251.853833124538,240.130157041645
"134","05","San Javier",69.3466867124084,67.6712155974561
"135","05","Santa Cruz",52.4707529939228,52.1942684071766
"136","05","Villa Hermosa",91.5853946947276,87.0718628929195
"137","05","Corregimiento de San Sebasti√°n de Palmitas",1.06012658227848,0.731012658227848
"138","06","",15.3546333136495,13.6150025378723
"139","06","Aranjuez",191.316527094806,184.435394480297
"140","06","AU",1.06012658227848,0.731012658227848
"141","06","Bel√©n",238.974457444923,229.968078741789
"142","06","Buenos Aires",132.453292110532,129.551492812599
"143","06","Castilla",308.288143664076,280.414489921843
"144","06","Corregimiento de Altavista",19.6494591647085,16.1244786536721
"145","06","Corregimiento de San Antonio de Prado",28.8389753268318,26.4511673897211
"146","06","Corregimiento de San Crist√≥bal",38.2741915859193,38.2834430842285
"147","06","Corregimiento de Santa Elena",18.4864562547116,16.0322634018588
"148","06","Doce de Octubre",100.715807808398,97.2901666035244
"149","06","El Poblado",272.079259078131,257.919793006767
"150","06","Guayabal",235.909321129411,223.049097279919
"151","06","In",5.46262078821602,4.89145440989592
"152","06","La Am√©rica",105.791113579105,101.53248602075
"153","06","La Candelaria",620.992336905636,608.069191919192
"154","06","Laureles Estadio",344.150844303872,312.41088897125
"155","06","Manrique",116.041624628347,112.998685906425
"156","06","Popular",49.6309474292688,47.8007567793692
"157","06","Robledo",238.457731708247,223.672453034896
"158","06","San Javier",67.8706144473675,66.8436364287984
"159","06","Santa Cruz",52.5370218877324,52.567827380756
"160","06","SN",1,1.16949152542373
"161","06","Villa Hermosa",86.8977643129981,82.696817271392
"162","07","",16.1232850591581,15.3232867343694
"163","07","Aranjuez",234.562517478247,224.096879288728
"164","07","AU",0.5,0.584745762711864
"165","07","Bel√©n",245.237814150499,228.5280188411
"166","07","Buenos Aires",139.441884159519,135.765166640185
"167","07","Castilla",320.102538740998,291.347579757976
"168","07","Corregimiento de Altavista",20.8163429932216,19.8173935730094
"169","07","Corregimiento de San Antonio de Prado",26.7575089329238,26.1413361831867
"170","07","Corregimiento de San Crist√≥bal",48.7433517357636,45.3741529580534
"171","07","Corregimiento de Santa Elena",19.5161462597939,18.291834405369
"172","07","Doce de Octubre",99.9623800832729,95.8145967438928
"173","07","El Poblado",277.859037480115,258.731384051026
"174","07","Guayabal",276.061189716359,258.971713695576
"175","07","In",4.43692887482827,4.63855876539117
"176","07","La Am√©rica",123.921715191228,118.335166885192
"177","07","La Candelaria",643.568990886262,635.488888888889
"178","07","Laureles Estadio",373.140564198839,340.196169168319
"179","07","Manrique",108.442404794847,104.286675068215
"180","07","Popular",59.4665138786757,57.9341697386593
"181","07","Robledo",237.365062360055,230.396762298402
"182","07","San Javier",73.3237444614567,70.6871890315665
"183","07","Santa Cruz",53.8073371062976,52.6091328540181
"184","07","Villa Hermosa",97.018312423782,94.2683838834537
"185","08","",17.628727761276,16.5344441271647
"186","08","Aranjuez",220.080135744653,210.85199877002
"187","08","AU",1.13111135636243,0.997737556561086
"188","08","Bel√©n",260.177730601594,242.514325885553
"189","08","Buenos Aires",154.588718524231,152.592736713727
"190","08","Castilla",342.026616528836,306.846689963114
"191","08","Corregimiento de Altavista",13.6526101193982,12.1983564992815
"192","08","Corregimiento de San Antonio de Prado",27.3751189428394,27.0973890010348
"193","08","Corregimiento de San Crist√≥bal",42.749608855738,43.1406815924461
"194","08","Corregimiento de Santa Elena",23.2691567273901,20.9045056931795
"195","08","Doce de Octubre",109.284577099073,105.990751494882
"196","08","El Poblado",302.748982230246,282.010528052805
"197","08","Guayabal",264.839047044814,247.867535047622
"198","08","In",8.15300969937931,6.8512172829127
"199","08","La Am√©rica",113.28168812304,109.464744342635
"200","08","La Candelaria",648.477280867306,625.164887488749
"201","08","Laureles Estadio",378.111577372877,342.388400840084
"202","08","Manrique",116.691452297145,110.885421862864
"203","08","Popular",60.1924969686473,59.9830415006125
"204","08","Robledo",261.015103357748,244.723913685486
"205","08","San Javier",66.6290398621525,63.7006172946283
"206","08","Santa Cruz",58.0273713661489,57.8778222713332
"207","08","Villa Hermosa",105.095294490468,99.4584403720354
"208","08","0",1,1.16949152542373
"209","08","Corregimiento de San Sebasti√°n de Palmitas",2.20039807549115,1.72648777135002
"210","08","Alfonso L√≥pez",1.06012658227848,0.731012658227848
"211","08","Boston",1.06012658227848,0.731012658227848
"212","08","Cabecera San Antonio de Prado",1.06012658227848,0.731012658227848
"213","08","Calle Nueva",1.06012658227848,0.731012658227848
"214","08","Campo Vald√©s No. 1",1.06012658227848,0.731012658227848
"215","08","Cerro Nutibara",1.06012658227848,0.731012658227848
"216","08","El Chagualo",1.06012658227848,0.731012658227848
"217","08","Estaci√≥n Villa",1.06012658227848,0.731012658227848
"218","08","Guayaquil",1.06012658227848,0.731012658227848
"219","08","Jes√∫s Nazareno",1.06012658227848,0.731012658227848
"220","08","La Rosa",1.06012658227848,0.731012658227848
"221","08","Las Esmeraldas",1.06012658227848,0.731012658227848
"222","08","Los Conquistadores",1.06012658227848,0.731012658227848
"223","08","Miranda",1.06012658227848,0.731012658227848
"224","08","Moravia",1.06012658227848,0.731012658227848
"225","08","Patio Bonito",1.06012658227848,0.731012658227848
"226","08","Perpetuo Socorro",1.06012658227848,0.731012658227848
"227","08","Rosales",2.12025316455696,1.4620253164557
"228","08","San Pedro",1.06012658227848,0.731012658227848
"229","08","Veinte de Julio",1.06012658227848,0.731012658227848
"230","09","",14.892590705072,13.1614469562125
"231","09","Aranjuez",227.237757536834,220.407700990297
"232","09","AU",1.63111135636243,1.58248331927295
"233","09","Bel√©n",248.843864840795,232.02385620915
"234","09","Buenos Aires",132.058382251435,125.964915786957
"235","09","Castilla",328.447316249024,301.646875922886
"236","09","Corregimiento de Altavista",15.5570892925788,13.3811806277334
"237","09","Corregimiento de San Antonio de Prado",30.0653593368567,27.8409562514989
"238","09","Corregimiento de San Crist√≥bal",39.2397154211235,41.1505970944146
"239","09","Corregimiento de Santa Elena",18.3686552364129,16.6251879382756
"240","09","Doce de Octubre",94.2974549322391,90.1183563333139
"241","09","El Poblado",296.181150399177,273.868916377075
"242","09","Guayabal",271.799901449169,248.694527688063
"243","09","In",6.18914242322528,5.69781745475638
"244","09","La Am√©rica",116.813131118206,116.923562307785
"245","09","La Candelaria",637.599662510512,617.976060606061
"246","09","Laureles Estadio",376.394835428428,340.434747474747
"247","09","Manrique",113.252553724699,110.11566181517
"248","09","Popular",64.456433531577,61.984417869361
"249","09","Robledo",259.396531784515,241.398839203792
"250","09","San Javier",72.0815870072671,69.633709005679
"251","09","Santa Cruz",49.4992962386633,48.5741679346844
"252","09","Villa Hermosa",98.4302922431978,95.1335771730109
"253","09","Bolivariana",1.06012658227848,0.731012658227848
"254","09","Calasanz",1.06012658227848,0.731012658227848
"255","09","Calle Nueva",1.06012658227848,0.731012658227848
"256","09","Caribe",1.06012658227848,0.731012658227848
"257","09","Cerro Nutibara",1.06012658227848,0.731012658227848
"258","09","Coraz√≥n de Jes√∫s",1.06012658227848,0.731012658227848
"259","09","El Raizal",1.06012658227848,0.731012658227848
"260","09","Guayaquil",1.06012658227848,0.731012658227848
"261","09","La Alpujarra",1.06012658227848,0.731012658227848
"262","09","La Colina",1.06012658227848,0.731012658227848
"263","09","Las Palmas",1.06012658227848,0.731012658227848
"264","09","Laureles",1.06012658227848,0.731012658227848
"265","09","Oleoducto",1.06012658227848,0.731012658227848
"266","09","Universidad de Antioquia",1.06012658227848,0.731012658227848
"267","09","Villa Guadalupe",1.06012658227848,0.731012658227848
"268","10","",18.608114508597,14.6792196590234
"269","10","Aranjuez",217.846904471676,209.790146027423
"270","10","Bel√©n",257.978844443347,242.434779642022
"271","10","Buenos Aires",125.464328829797,121.013446055101
"272","10","Castilla",339.229571537342,302.785095910043
"273","10","Corregimiento de Altavista",16.2020470734258,13.8819447404715
"274","10","Corregimiento de San Antonio de Prado",31.6406772925908,30.132855085482
"275","10","Corregimiento de San Crist√≥bal",40.8406966377967,41.576629927603
"276","10","Corregimiento de Santa Elena",18.4055794870819,17.6026142043037
"277","10","Doce de Octubre",92.7053543319822,86.9490183487584
"278","10","El Poblado",277.769690689506,255.590443409683
"279","10","Guayabal",277.126650514774,256.799848645059
"280","10","In",6.75604589995896,6.85589753583165
"281","10","La Am√©rica",125.623210739263,121.447291066999
"282","10","La Candelaria",644.63760818939,638.151111111111
"283","10","Laureles Estadio",373.409308732377,336.876565656566
"284","10","Manrique",119.200458899051,114.669666573815
"285","10","Popular",58.0489650033082,57.169322471436
"286","10","Robledo",254.907892434093,244.006588132888
"287","10","San Javier",72.9658311016293,71.3204954277989
"288","10","Santa Cruz",52.2370623371917,51.1117831790242
"289","10","SN",0.560975609756098,0.5
"290","10","Villa Hermosa",99.1167057527967,95.7454413236537
"291","10","Antonio Nari√±o",1.06012658227848,0.731012658227848
"292","10","Boston",1.06012658227848,0.731012658227848
"293","10","Campo Vald√©s No. 2",1.06012658227848,0.731012658227848
"294","10","Caribe",1.06012658227848,0.731012658227848
"295","10","Cristo Rey",1.06012658227848,0.731012658227848
"296","10","El Nogal-Los Almendros",1.06012658227848,0.731012658227848
"297","10","F√°tima",1.06012658227848,0.731012658227848
"298","10","La Alpujarra",1.06012658227848,0.731012658227848
"299","10","La Floresta",1.06012658227848,0.731012658227848
"300","10","Las Esmeraldas",1.06012658227848,0.731012658227848
"301","10","Las Granjas",1.06012658227848,0.731012658227848
"302","10","Los Mangos",1.06012658227848,0.731012658227848
"303","10","Manila",1.06012658227848,0.731012658227848
"304","10","Oleoducto",1.06012658227848,0.731012658227848
"305","10","Parque Juan Pablo II",1.06012658227848,0.731012658227848
"306","10","Santa F√©",1.06012658227848,0.731012658227848
"307","10","Santa In√©s",1.06012658227848,0.731012658227848
"308","11","",17.3528438047587,15.6423645114062
"309","11","Aranjuez",205.352492828047,198.290440227604
"310","11","AU",0.5,0.584745762711864
"311","11","Bel√©n",221.037812490117,212.653763082191
"312","11","Buenos Aires",128.876181696956,124.157868984317
"313","11","Castilla",338.193074715323,300.170939270398
"314","11","Corregimiento de Altavista",15.3996203394001,13.7333174134764
"315","11","Corregimiento de San Antonio de Prado",27.0605560203632,23.6332141567763
"316","11","Corregimiento de San Crist√≥bal",39.0101656714726,37.7720263574609
"317","11","Corregimiento de Santa Elena",25.0896588144312,24.1491885041928
"318","11","Doce de Octubre",97.9648311773822,93.8944333021794
"319","11","El Poblado",261.640237555111,250.252789220224
"320","11","Guayabal",266.694318454908,252.653297670144
"321","11","In",8.5676600236543,6.92408764264413
"322","11","La Am√©rica",111.514372847086,107.258245751626
"323","11","La Candelaria",610.265946292108,602.358080808081
"324","11","Laureles Estadio",361.260832062871,329.237528576387
"325","11","Manrique",109.36039966302,103.756430840789
"326","11","Popular",55.51826023136,54.204428258794
"327","11","Robledo",218.189235320534,206.169575107765
"328","11","San Javier",71.2060619984333,68.1220605119687
"329","11","Santa Cruz",58.4288471976327,57.5049385014558
"330","11","Villa Hermosa",92.3886968131933,90.0211690002004
"331","11","Corregimiento de San Sebasti√°n de Palmitas",2.12025316455696,1.4620253164557
"332","11","Alejandro Echavarr√≠a",1.06012658227848,0.731012658227848
"333","11","Cabecera San Antonio de Prado",2.12025316455696,1.4620253164557
"334","11","Cristo Rey",1.06012658227848,0.731012658227848
"335","11","Florida Nueva",1.06012658227848,0.731012658227848
"336","11","Naranjal",1.06012658227848,0.731012658227848
"337","11","Suramericana",1.06012658227848,0.731012658227848
"338","11","Toscana",1.06012658227848,0.731012658227848
"339","12","",14.5651420849756,13.2362996877069
"340","12","Aranjuez",221.401953066674,211.921053295364
"341","12","AU",0.570135746606335,0.497737556561086
"342","12","Bel√©n",233.01855104816,223.188646982522
"343","12","Buenos Aires",129.994710576541,124.089901993944
"344","12","Castilla",331.716704622008,300.441176100803
"345","12","Corregimiento de Altavista",19.2567460232221,17.5592215452955
"346","12","Corregimiento de San Antonio de Prado",31.2678173373701,29.4607014249522
"347","12","Corregimiento de San Crist√≥bal",39.6140098814948,39.9936850398177
"348","12","Corregimiento de Santa Elena",20.4610555565666,19.367359508707
"349","12","Doce de Octubre",88.7431967532912,86.3401136298439
"350","12","El Poblado",271.861842316389,247.968151336004
"351","12","Guayabal",261.540261823382,246.797443581254
"352","12","In",5.14876107263464,4.72686164971492
"353","12","La Am√©rica",97.5088753652136,93.6204582448453
"354","12","La Candelaria",618.183884532366,597.66194919492
"355","12","Laureles Estadio",346.216513916983,317.190509828416
"356","12","Manrique",115.686153939592,113.489771756831
"357","12","Popular",54.5127999191326,54.019827372887
"358","12","Robledo",232.056744309355,223.97381302394
"359","12","San Javier",67.0199603808617,66.6594029399259
"360","12","Santa Cruz",63.661698831027,61.5952258137701
"361","12","Villa Hermosa",96.4999345896261,93.3547748580443
"362","12","Corregimiento de San Sebasti√°n de Palmitas",1.63026232888482,1.22875021478893
"363","12","Altavista",1.06012658227848,0.731012658227848
"364","12","Andaluc√≠a",1.06012658227848,0.731012658227848
"365","12","Barrio Col√≥n",1.06012658227848,0.731012658227848
"366","12","Bolivariana",1.06012658227848,0.731012658227848
"367","12","Cabecera San Antonio de Prado",1.06012658227848,0.731012658227848
"368","12","Campo Amor",1.06012658227848,0.731012658227848
"369","12","Girardot",1.06012658227848,0.731012658227848
"370","12","H√©ctor Abad G√≥mez",1.06012658227848,0.731012658227848
"371","12","Jes√∫s Nazareno",1.06012658227848,0.731012658227848
"372","12","Las Playas",1.06012658227848,0.731012658227848
"373","12","Santa Mar√≠a de los √Ångeles",1.06012658227848,0.731012658227848
"374","12","Sim√≥n Bol√≠var",1.06012658227848,0.731012658227848
"375","12","Universidad de Antioquia",1.06012658227848,0.731012658227848
"376","12","Villa Carlota",1.06012658227848,0.731012658227848
